Energy(1/cm),Absorbance
3.581374e+002,-2.469536e-003
3.581524e+002,-2.789194e-003
3.581675e+002,-2.967298e-003
3.581826e+002,-2.992966e-003
3.581976e+002,-2.887191e-003
3.582127e+002,-2.693776e-003
3.582278e+002,-2.463540e-003
3.582428e+002,-2.241357e-003
3.582579e+002,-2.051050e-003
3.582729e+002,-1.890319e-003
3.582880e+002,-1.737977e-003
3.583031e+002,-1.565178e-003
3.583182e+002,-1.350066e-003
3.583332e+002,-1.090397e-003
3.583483e+002,-8.080828e-004
3.583634e+002,-5.447132e-004
3.583784e+002,-3.461128e-004
3.583935e+002,-2.424735e-004
3.584086e+002,-2.376055e-004
3.584236e+002,-3.034349e-004
3.584387e+002,-3.901768e-004
3.584538e+002,-4.452257e-004
3.584688e+002,-4.310918e-004
3.584839e+002,-3.426033e-004
3.584990e+002,-2.034616e-004
3.585140e+002,-5.427017e-005
3.585291e+002,6.657139e-005
3.585442e+002,1.407762e-004
3.585592e+002,1.764083e-004
3.585743e+002,2.001757e-004
3.585894e+002,2.403877e-004
3.586044e+002,3.044097e-004
3.586195e+002,3.713594e-004
3.586346e+002,3.934792e-004
3.586496e+002,3.139922e-004
3.586647e+002,9.195670e-005
3.586797e+002,-2.793295e-004
3.586948e+002,-7.629696e-004
3.587099e+002,-1.288294e-003
3.587249e+002,-1.775366e-003
3.587400e+002,-2.156797e-003
3.587551e+002,-2.400442e-003
3.587701e+002,-2.514835e-003
3.587852e+002,-2.542769e-003
3.588003e+002,-2.542045e-003
3.588153e+002,-2.565102e-003
3.588304e+002,-2.641679e-003
3.588455e+002,-2.774741e-003
3.588605e+002,-2.940147e-003
3.588756e+002,-3.095984e-003
3.588907e+002,-3.197398e-003
3.589057e+002,-3.207825e-003
3.589208e+002,-3.110623e-003
3.589359e+002,-2.914674e-003
3.589509e+002,-2.654391e-003
3.589660e+002,-2.385153e-003
3.589811e+002,-2.168238e-003
3.589961e+002,-2.055601e-003
3.590112e+002,-2.074859e-003
3.590263e+002,-2.219106e-003
3.590413e+002,-2.448516e-003
3.590564e+002,-2.702107e-003
3.590715e+002,-2.917208e-003
3.590865e+002,-3.050121e-003
3.591016e+002,-3.088318e-003
3.591167e+002,-3.051305e-003
3.591317e+002,-2.978092e-003
3.591468e+002,-2.910527e-003
3.591619e+002,-2.875704e-003
3.591769e+002,-2.876231e-003
3.591920e+002,-2.891437e-003
3.592071e+002,-2.889298e-003
3.592221e+002,-2.837586e-003
3.592372e+002,-2.714290e-003
3.592523e+002,-2.509926e-003
3.592673e+002,-2.224941e-003
3.592824e+002,-1.862474e-003
3.592975e+002,-1.425272e-003
3.593125e+002,-9.160839e-004
3.593276e+002,-3.467749e-004
3.593427e+002,2.579920e-004
3.593577e+002,8.577259e-004
3.593728e+002,1.398285e-003
3.593878e+002,1.822679e-003
3.594029e+002,2.083854e-003
3.594180e+002,2.153310e-003
3.594330e+002,2.027625e-003
3.594481e+002,1.723835e-003
3.594632e+002,1.273284e-003
3.594782e+002,7.168166e-004
3.594933e+002,9.885009e-005
3.595084e+002,-5.348515e-004
3.595234e+002,-1.134815e-003
3.595385e+002,-1.649358e-003
3.595536e+002,-2.030042e-003
3.595687e+002,-2.239676e-003
3.595837e+002,-2.261365e-003
3.595988e+002,-2.104141e-003
3.596139e+002,-1.805295e-003
3.596289e+002,-1.424380e-003
3.596440e+002,-1.032355e-003
3.596591e+002,-6.989300e-004
3.596741e+002,-4.775302e-004
3.596892e+002,-4.010349e-004
3.597043e+002,-4.729296e-004
3.597193e+002,-6.706119e-004
3.597344e+002,-9.495437e-004
3.597495e+002,-1.252713e-003
3.597645e+002,-1.521564e-003
3.597796e+002,-1.706888e-003
3.597946e+002,-1.777940e-003
3.598097e+002,-1.729924e-003
